LOCAL AGENTS,Date,Agent
"Zanesville WB Messer, H Nusum, W Gaeaway",05-01-1844,local
"Hillsboro J Tailor, N ‘lailor.",05-01-1844,local
Steubenville W Ferris.,05-01-1844,local
"Newark—W Jenkins, H Robinson,",05-01-1844,local
"Cleveland J Malvin, J Watson, R D Kenney.",05-01-1844,local
"Dublin S White, jr.",05-01-1844,local
Xenia W Roberts.,05-01-1844,local
"Logan County--K Artis, sen. K Arts, jr.",05-01-1844,local
Mt. Vernon—O Martin.,05-01-1844,local
Frenton Jefferson co.—J Simpson.,05-01-1844,local
Mt. Plew§ant--Elijah Sawycr.,05-01-1844,local
Warren—-A Moore.,05-01-1844,local
"Gallipolis—H1 Vell, J Gee,",05-01-1844,local
"Jackson—N Nukes, T Woodson. .",05-01-1844,local
Lebanon—T Benford.,05-01-1844,local
Massillon—J S Thompson.,05-01-1844,local
Barnesville—A Harper.,05-01-1844,local
"Oberlin—A Jones, W P Newman. gy",05-01-1844,local
Lower Sandusky A Winfield.,05-01-1844,local
Lockburne--E © ‘Tyner.,05-01-1844,local
Morgan county—Lloyd E Guy.,05-01-1844,local
Putnum—J Thomas.,05-01-1844,local
"Terrehaute Ia—E, Roy,",05-01-1844,local
Lafayette Ia.—S If Webster.,05-01-1844,local
Granville O. T’ Walker.,05-01-1844,local
"New York City—C B Ray, T S Wright.",05-01-1844,local
"Troy, N ¥—i! H Garnet.",05-01-1844,local
"Utica, N Y--T Woodson, J Fountain,",05-01-1844,local
"Geneva, N Y—J W Duffin.",05-01-1844,local
Rochester N Y--J Sharp.,05-01-1844,local
Batavia N Y—W Johnson.,05-01-1844,local
Brockport N Y—A Peck.,05-01-1844,local
"Lockport, N Y A Outley.",05-01-1844,local
"Buffalo, N Y W W Brown, A II Francis",05-01-1844,local
"Boston, Mass.--J T Wilton.",05-01-1844,local
"Pittsburgh, Pa, J B Vashon.",05-01-1844,local
"Madison Ia.—A Duncan,",05-01-1844,local
"Indianopolis, Ia. J G Bretton.",05-01-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",05-01-1844,local
Piketon--W Evans. :,05-01-1844,local
"Richmond, Ross co, C Oston,",05-01-1844,local
"Sharonvillce--D Lucus, C Smith, W Polson,",05-01-1844,local
"Miami co. 'T, Anderson, R. Smith.",05-01-1844,local
"Vanwertco. I, Taylor.",05-01-1844,local
"Shelby co. J, Robertson,",05-01-1844,local
"Logan co. D, D. Day,",05-01-1844,local
Champaign co. D. Lancaster.,05-01-1844,local
"Crawford co. A,- Allen.",05-01-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M-Clask.",05-01-1844,traveling
Springfield. Rev. T. Roberts.,05-01-1844,traveling
"Zanesville, Rev. Geo. Coleman.",05-01-1844,traveling
"wWardina, Rey. E, Cumberland, Rev. S. Tox.",05-01-1844,traveling
"Xenia. Rev. D. Winslow,",05-01-1844,traveling
"| Logan ce, Rev. M ‘Il’. Nusum. -",05-01-1844,traveling
Humilton. Rey. W. C Yancy.,05-01-1844,traveling
"Massillon, Rev. J.'Thomas. :",05-01-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawrence.",05-01-1844,traveling
"Mt, Pleasant, Rev. W. Newmon.",05-01-1844,traveling
Jackson co. Rev. T. Woodson.,05-01-1844,traveling
"Butler co. J. WU. Yancy, 8. Jones.",05-01-1844,traveling
"Cincinnati W W Watson, A M Sumner;Wi Yaa",05-08-1844,local
"Hamilton, Butler co.—f Simpson.",05-08-1844,local
"Dayton, O., T. Jefferson. _",05-08-1844,local
"Springficld W. Piles, R. Piles.",05-08-1844,local
"Urbana--L Adams, A Kane. ‘",05-08-1844,local
"Chillicothe KR W Chanceller, James Leach,",05-08-1844,local
"U Moody, C H Langston, J Burnett.",05-08-1844,local
Circleville W Scott.,05-08-1844,local
"Lancaster S Smith N Smith, Rev. I. Martin",05-08-1844,local
"Zanesville B Messer, 11 Nusum, W Gasaway",05-08-1844,local
"Hillsboro J Tailor, N ‘Yailor.",05-08-1844,local
"Warren, Trumble co--A Day",05-08-1844,local
Steubenville W Ferris.,05-08-1844,local
"Newark—\W Jenkins, 1H Robinson,",05-08-1844,local
"Clereland J Malvin, J L Watson, RD",05-08-1844,local
Kenney.,05-08-1844,local
"Dublin S&S White, jr.",05-08-1844,local
Xenia W: Roberts.,05-08-1844,local
"Logan County--K Artis, sen. K Artis, jr.",05-08-1844,local
Mt. Vernon—O Martim,05-08-1844,local
Trenton Jefferson co.—J Simpson.,05-08-1844,local
